DATA;DOCUMENTO;CONTADEB;CONTACRED;VALOR;HP;HISTORICO;FILDEB;FILCRED;EVENTO;CONT;USER;INTEG_TO;XREF
31/08/2013;;3.1.01.02.0014;2.1.03.05.0003;;;PROV. INSS S/ 1% FATURAMENTO REF. AO MÊS - TAPETE;01;01;;;;;
31/08/2013;;3.1.01.02.0014;2.1.03.05.0003;;;PROV. INSS S/ 1% FATURAMENTO REF. AO MÊS - REPARO ÁGUA;01;01;;;;;
31/08/2013;;3.1.01.02.0014;2.1.03.05.0003;;;PROV. INSS S/ 1% FATURAMENTO REF. AO MÊS - PARA SOL;01;01;;;;;
31/08/2013;;3.1.01.02.0014;2.1.03.05.0003;;;PROV. INSS S/ 1% FATURAMENTO REF. AO MÊS - ESPUMA;01;01;;;;;
31/08/2013;;3.1.01.02.0014;2.1.03.05.0003;;;PROV. INSS S/ 1% FATURAMENTO REF. AO MÊS - EPP;01;01;;;;;
31/08/2013;;3.1.01.02.0014;2.1.03.05.0003;;;PROV. INSS S/ 1% FATURAMENTO REF. AO MÊS - BETUME;01;01;;;;;
31/08/2013;;3.1.01.02.0014;2.1.03.05.0003;;;PROV. INSS S/ 1% FATURAMENTO REF. AO MÊS - ACÚSTICA;01;01;;;;;
31/08/2013;;3.1.01.02.0014;2.1.03.05.0003;;;PROV. INSS S/ 20% FOLHA REF. AO MÊS - TAPETE;01;01;;;;;
31/08/2013;;3.1.01.02.0014;2.1.03.05.0003;;;PROV. INSS S/ 20% FOLHA REF. AO MÊS - REPARO ÁGUA;01;01;;;;;
31/08/2013;;3.1.01.02.0014;2.1.03.05.0003;;;PROV. INSS S/ 20% FOLHA REF. AO MÊS - PARA SOL;01;01;;;;;
31/08/2013;;3.1.01.02.0014;2.1.03.05.0003;;;PROV. INSS S/ 20% FOLHA REF. AO MÊS - ESPUMA;01;01;;;;;
31/08/2013;;3.1.01.02.0014;2.1.03.05.0003;;;PROV. INSS S/ 20% FOLHA REF. AO MÊS - EPP;01;01;;;;;
31/08/2013;;3.1.01.02.0014;2.1.03.05.0003;;;PROV. INSS S/ 20% FOLHA REF. AO MÊS - BETUME;01;01;;;;;
31/08/2013;;3.1.01.02.0014;2.1.03.05.0003;;;PROV. INSS S/ 20% FOLHA REF. AO MÊS - ACÚSTICA;01;01;;;;;
31/08/2013;;3.1.02.01.0009;2.1.03.05.0003;;;PROV. INSS S/ 1% FATURAMENTO REF. AO MÊS - QUALIDADE;01;01;;;;;
31/08/2013;;3.1.02.01.0009;2.1.03.05.0003;;;PROV. INSS S/ 1% FATURAMENTO REF. AO MÊS - MANUTENÇÃO;01;01;;;;;
31/08/2013;;3.1.02.01.0009;2.1.03.05.0003;;;PROV. INSS S/ 1% FATURAMENTO REF. AO MÊS - LOGÍSTICA;01;01;;;;;
