DATA	DOCUMENTO	CONTADEB	CONTACRED	VALOR	HP	HISTORICO	FILDEB	FILCRED	EVENTO	CONT	USER	INTEG_TO	XREF
31/08/2013		3.1.01.02.0014	2.1.03.05.0003			PROV. INSS S/ 1% FATURAMENTO REF. AO M“S - TAPETE	1	1					
31/08/2013		3.1.01.02.0014	2.1.03.05.0003			PROV. INSS S/ 1% FATURAMENTO REF. AO M“S - REPARO µGUA	1	1					
31/08/2013		3.1.01.02.0014	2.1.03.05.0003			PROV. INSS S/ 1% FATURAMENTO REF. AO M“S - PARA SOL	1	1					
31/08/2013		3.1.01.02.0014	2.1.03.05.0003			PROV. INSS S/ 1% FATURAMENTO REF. AO M“S - ESPUMA	1	1					
31/08/2013		3.1.01.02.0014	2.1.03.05.0003			PROV. INSS S/ 1% FATURAMENTO REF. AO M“S - EPP	1	1					
31/08/2013		3.1.01.02.0014	2.1.03.05.0003			PROV. INSS S/ 1% FATURAMENTO REF. AO M“S - BETUME	1	1					
31/08/2013		3.1.01.02.0014	2.1.03.05.0003			PROV. INSS S/ 1% FATURAMENTO REF. AO M“S - ACÈSTICA	1	1					
31/08/2013		3.1.01.02.0014	2.1.03.05.0003			PROV. INSS S/ 20% FOLHA REF. AO M“S - TAPETE	1	1					
31/08/2013		3.1.01.02.0014	2.1.03.05.0003			PROV. INSS S/ 20% FOLHA REF. AO M“S - REPARO µGUA	1	1					
31/08/2013		3.1.01.02.0014	2.1.03.05.0003			PROV. INSS S/ 20% FOLHA REF. AO M“S - PARA SOL	1	1					
31/08/2013		3.1.01.02.0014	2.1.03.05.0003			PROV. INSS S/ 20% FOLHA REF. AO M“S - ESPUMA	1	1					
31/08/2013		3.1.01.02.0014	2.1.03.05.0003			PROV. INSS S/ 20% FOLHA REF. AO M“S - EPP	1	1					
31/08/2013		3.1.01.02.0014	2.1.03.05.0003			PROV. INSS S/ 20% FOLHA REF. AO M“S - BETUME	1	1					
31/08/2013		3.1.01.02.0014	2.1.03.05.0003			PROV. INSS S/ 20% FOLHA REF. AO M“S - ACÈSTICA	1	1					
31/08/2013		3.1.02.01.0009	2.1.03.05.0003			PROV. INSS S/ 1% FATURAMENTO REF. AO M“S - QUALIDADE	1	1					
31/08/2013		3.1.02.01.0009	2.1.03.05.0003			PROV. INSS S/ 1% FATURAMENTO REF. AO M“S - MANUTENÄ«O	1	1					
31/08/2013		3.1.02.01.0009	2.1.03.05.0003			PROV. INSS S/ 1% FATURAMENTO REF. AO M“S - LOG÷STICA	1	1					
31/08/2013		3.1.02.01.0009	2.1.03.05.0003			PROV. INSS S/ 1% FATURAMENTO REF. AO M“S - GER. PRODUÄ«O	1	1					
31/08/2013		3.1.02.01.0009	2.1.03.05.0003			PROV. INSS S/ 1% FATURAMENTO REF. AO M“S - FERRAMENTARIA	1	1					
31/08/2013		3.1.02.01.0009	2.1.03.05.0003			PROV. INSS S/ 1% FATURAMENTO REF. AO M“S - ALMOXARIFADO	1	1					
31/08/2013		3.1.02.01.0009	2.1.03.05.0003			PROV. INSS S/ 20% FOLHA REF. AO M“S - QUALIDADE	1	1					
31/08/2013		3.1.02.01.0009	2.1.03.05.0003			PROV. INSS S/ 20% FOLHA REF. AO M“S - MANUTENÄ«O	1	1					
31/08/2013		3.1.02.01.0009	2.1.03.05.0003			PROV. INSS S/ 20% FOLHA REF. AO M“S - LOG÷STICA	1	1					
31/08/2013		3.1.02.01.0009	2.1.03.05.0003			PROV. INSS S/ 20% FOLHA REF. AO M“S - GER. PRODUÄ«O	1	1					
31/08/2013		3.1.02.01.0009	2.1.03.05.0003			PROV. INSS S/ 20% FOLHA REF. AO M“S - FERRAMENTARIA	1	1					
31/08/2013		3.1.02.01.0009	2.1.03.05.0003			PROV. INSS S/ 20% FOLHA REF. AO M“S - ALMOXARIFADO	1	1					
31/08/2013		3.2.01.01.0014	2.1.03.05.0003			PROV. INSS S/ 1% FATURAMENTO REF. AO M“S - SEG. TRABALHO.	1	1					
31/08/2013		3.2.01.01.0014	2.1.03.05.0003			PROV. INSS S/ 1% FATURAMENTO REF. AO M“S - RH.	1	1					
31/08/2013		3.2.01.01.0014	2.1.03.05.0003			PROV. INSS S/ 1% FATURAMENTO REF. AO M“S - LABORAT‡RIO	1	1					
31/08/2013		3.2.01.01.0014	2.1.03.05.0003			PROV. INSS S/ 1% FATURAMENTO REF. AO M“S - TI	1	1					
31/08/2013		3.2.01.01.0014	2.1.03.05.0003			PROV. INSS S/ 1% FATURAMENTO REF. AO M“S - ENGENHARIA	1	1					
31/08/2013		3.2.01.01.0014	2.1.03.05.0003			PROV. INSS S/ 1% FATURAMENTO REF. AO M“S - DESENVOLVIMENTO	1	1					
31/08/2013		3.2.01.01.0014	2.1.03.05.0003			PROV. INSS S/ 1% FATURAMENTO REF. AO M“S - DIRETORIA	1	1					
31/08/2013		3.2.01.01.0014	2.1.03.05.0003			PROV. INSS S/ 1% FATURAMENTO REF. AO M“S - DEP. PESSOAL	1	1					
