DATA;DOCUMENTO;CONTADEB;CONTACRED;VALOR;HP;HISTORICO;FILDEB;FILCRED;EVENTO;CONT;USER;INTEG_TO;XREF
01/04/2013;172459;1.1.02.01.0001;4.1.01.01.0001;20873,52;; Doc:172459 Mov.cliente:  FIAT AUTOMOVEIS SA;00;00;;;;;32
01/04/2013;172459;4.1.02.02.0002;2.1.04.03.0002;3757,23;; Doc:172459 Mov.cliente:  FIAT AUTOMOVEIS SA;00;00;;;;;32
01/04/2013;172461;1.1.02.01.0001;4.1.01.01.0001;35846,72;; Doc:172461 Mov.cliente:  FIAT AUTOMOVEIS SA;00;00;;;;;33
01/04/2013;172461;4.1.02.02.0002;2.1.04.03.0002;6452,41;; Doc:172461 Mov.cliente:  FIAT AUTOMOVEIS SA;00;00;;;;;33
01/04/2013;172464;1.1.02.01.0001;4.1.01.01.0001;44775,49;; Doc:172464 Mov.cliente:  FIAT AUTOMOVEIS SA;00;00;;;;;34
01/04/2013;172464;4.1.02.02.0002;2.1.04.03.0002;8059,59;; Doc:172464 Mov.cliente:  FIAT AUTOMOVEIS SA;00;00;;;;;34
01/04/2013;172466;1.1.02.01.0001;4.1.01.01.0001;1159,2;; Doc:172466 Mov.cliente:  FIAT AUTOMOVEIS SA;00;00;;;;;35
01/04/2013;172466;4.1.02.02.0002;2.1.04.03.0002;208,66;; Doc:172466 Mov.cliente:  FIAT AUTOMOVEIS SA;00;00;;;;;35
01/04/2013;172467;1.1.02.01.0001;4.1.01.01.0001;23349,82;; Doc:172467 Mov.cliente:  FIAT AUTOMOVEIS SA;00;00;;;;;36
01/04/2013;172467;4.1.02.02.0002;2.1.04.03.0002;4202,97;; Doc:172467 Mov.cliente:  FIAT AUTOMOVEIS SA;00;00;;;;;36
01/04/2013;172473;1.1.02.01.0001;4.1.01.01.0001;23897,31;; Doc:172473 Mov.cliente:  FIAT AUTOMOVEIS SA;00;00;;;;;37
01/04/2013;172473;4.1.02.02.0002;2.1.04.03.0002;4301,52;; Doc:172473 Mov.cliente:  FIAT AUTOMOVEIS SA;00;00;;;;;37
01/04/2013;172475;1.1.02.01.0001;4.1.01.01.0001;33005,04;; Doc:172475 Mov.cliente:  FIAT AUTOMOVEIS SA;00;00;;;;;38
01/04/2013;172475;4.1.02.02.0002;2.1.04.03.0002;5940,91;; Doc:172475 Mov.cliente:  FIAT AUTOMOVEIS SA;00;00;;;;;38
