DATA;DOCUMENTO;CONTADEB;CONTACRED;VALOR;HP;HISTORICO;FILDEB;FILCRED;EVENTO;CONT;USER;INTEG_TO;XREF
30/09/2013;;3.1.01.02.0014;2.1.03.05.0003;17.165,60;;PROV. INSS S/ 1% FATURAMENTO REF. AO MÊS - TAPETE;01;01;;;;;
30/09/2013;;3.1.01.02.0014;2.1.03.05.0003;9.181,60;;PROV. INSS S/ 1% FATURAMENTO REF. AO MÊS - REPARO ÁGUA;01;01;;;;;
30/09/2013;;3.1.01.02.0014;2.1.03.05.0003;21.756,40;;PROV. INSS S/ 1% FATURAMENTO REF. AO MÊS - PARA SOL;01;01;;;;;
30/09/2013;;3.1.01.02.0014;2.1.03.05.0003;11.976,00;;PROV. INSS S/ 1% FATURAMENTO REF. AO MÊS - ESPUMA;01;01;;;;;
30/09/2013;;3.1.01.02.0014;2.1.03.05.0003;998;;PROV. INSS S/ 1% FATURAMENTO REF. AO MÊS - EPP;01;01;;;;;
30/09/2013;;3.1.01.02.0014;2.1.03.05.0003;1.197,60;;PROV. INSS S/ 1% FATURAMENTO REF. AO MÊS - BETUME;01;01;;;;;
30/09/2013;;3.1.01.02.0014;2.1.03.05.0003;8.183,60;;PROV. INSS S/ 1% FATURAMENTO REF. AO MÊS - ACÚSTICA;01;01;;;;;
30/09/2013;;3.1.01.02.0014;2.1.03.05.0003;1.943,60;;PROV. INSS S/ 20% FOLHA REF. AO MÊS - TAPETE;01;01;;;;;
30/09/2013;;3.1.01.02.0014;2.1.03.05.0003;1.039,60;;PROV. INSS S/ 20% FOLHA REF. AO MÊS - REPARO ÁGUA;01;01;;;;;
30/09/2013;;3.1.01.02.0014;2.1.03.05.0003;2.463,40;;PROV. INSS S/ 20% FOLHA REF. AO MÊS - PARA SOL;01;01;;;;;
30/09/2013;;3.1.01.02.0014;2.1.03.05.0003;1.356,00;;PROV. INSS S/ 20% FOLHA REF. AO MÊS - ESPUMA;01;01;;;;;
30/09/2013;;3.1.01.02.0014;2.1.03.05.0003;113;;PROV. INSS S/ 20% FOLHA REF. AO MÊS - EPP;01;01;;;;;
30/09/2013;;3.1.01.02.0014;2.1.03.05.0003;135,6;;PROV. INSS S/ 20% FOLHA REF. AO MÊS - BETUME;01;01;;;;;
30/09/2013;;3.1.01.02.0014;2.1.03.05.0003;926,6;;PROV. INSS S/ 20% FOLHA REF. AO MÊS - ACÚSTICA;01;01;;;;;
30/09/2013;;3.1.02.01.0009;2.1.03.05.0003;3.592,80;;PROV. INSS S/ 1% FATURAMENTO REF. AO MÊS - QUALIDADE;01;01;;;;;
30/09/2013;;3.1.02.01.0009;2.1.03.05.0003;3.193,60;;PROV. INSS S/ 1% FATURAMENTO REF. AO MÊS - MANUTENÇÃO;01;01;;;;;
30/09/2013;;3.1.02.01.0009;2.1.03.05.0003;7.784,40;;PROV. INSS S/ 1% FATURAMENTO REF. AO MÊS - LOGÍSTICA;01;01;;;;;
30/09/2013;;3.1.02.01.0009;2.1.03.05.0003;1.397,20;;PROV. INSS S/ 1% FATURAMENTO REF. AO MÊS - GER. PRODUÇÃO;01;01;;;;;
30/09/2013;;3.1.02.01.0009;2.1.03.05.0003;1.397,20;;PROV. INSS S/ 1% FATURAMENTO REF. AO MÊS - FERRAMENTARIA;01;01;;;;;
30/09/2013;;3.1.02.01.0009;2.1.03.05.0003;598,8;;PROV. INSS S/ 1% FATURAMENTO REF. AO MÊS - ALMOXARIFADO;01;01;;;;;
30/09/2013;;3.1.02.01.0009;2.1.03.05.0003;406,8;;PROV. INSS S/ 20% FOLHA REF. AO MÊS - QUALIDADE;01;01;;;;;
30/09/2013;;3.1.02.01.0009;2.1.03.05.0003;361,6;;PROV. INSS S/ 20% FOLHA REF. AO MÊS - MANUTENÇÃO;01;01;;;;;
30/09/2013;;3.1.02.01.0009;2.1.03.05.0003;881,4;;PROV. INSS S/ 20% FOLHA REF. AO MÊS - LOGÍSTICA;01;01;;;;;
30/09/2013;;3.1.02.01.0009;2.1.03.05.0003;158,2;;PROV. INSS S/ 20% FOLHA REF. AO MÊS - GER. PRODUÇÃO;01;01;;;;;
30/09/2013;;3.1.02.01.0009;2.1.03.05.0003;158,2;;PROV. INSS S/ 20% FOLHA REF. AO MÊS - FERRAMENTARIA;01;01;;;;;
30/09/2013;;3.1.02.01.0009;2.1.03.05.0003;67,8;;PROV. INSS S/ 20% FOLHA REF. AO MÊS - ALMOXARIFADO;01;01;;;;;
30/09/2013;;3.2.01.01.0014;2.1.03.05.0003;399,59;;PROV. INSS S/ 1% FATURAMENTO REF. AO MÊS - SEG. TRABALHO.;01;01;;;;;
30/09/2013;;3.2.01.01.0014;2.1.03.05.0003;798,4;;PROV. INSS S/ 1% FATURAMENTO REF. AO MÊS - RH.;01;01;;;;;
30/09/2013;;3.2.01.01.0014;2.1.03.05.0003;399,2;;PROV. INSS S/ 1% FATURAMENTO REF. AO MÊS - LABORATÓRIO;01;01;;;;;
