DATA;DOCUMENTO;CONTADEB;CONTACRED;VALOR;HP;HISTORICO;FILDEB;FILCRED;EVENTO;CONT;USER;INTEG_TO;XREF
31/05/2013;;3.1.01.02.0001;2.1.03.02.0004;4379,44;;PROV. 13º SALÁRIO REF. AO MÊS DE MAIO/2013 - ACÚSTICA.;01;01;;;;;
31/05/2013;;3.1.01.02.0001;2.1.03.02.0004;4794,9;;PROV. 13º SALÁRIO REF. AO MÊS DE MAIO/2013 - REPARO ÁGUA;01;01;;;;;
31/05/2013;;3.1.01.02.0001;2.1.03.02.0004;288,36;;PROV. 13º SALÁRIO REF. AO MÊS DE MAIO/2013 - BETUME.;01;01;;;;;
31/05/2013;;3.1.01.02.0001;2.1.03.02.0004;960,71;;PROV. 13º SALÁRIO REF. AO MÊS DE MAIO/2013 - EPP.;01;01;;;;;
31/05/2013;;3.1.01.02.0001;2.1.03.02.0004;6981,59;;PROV. 13º SALÁRIO REF. AO MÊS DE MAIO/2013 - ESPUMA.;01;01;;;;;
31/05/2013;;3.1.01.02.0001;2.1.03.02.0004;11918,2;;PROV. 13º SALÁRIO REF. AO MÊS DE MAIO/2013 - PARA SOL.;01;01;;;;;
31/05/2013;;3.1.01.02.0001;2.1.03.02.0004;10344,33;;PROV. 13º SALÁRIO REF. AO MÊS DE MAIO/2013 - TAPETE.;01;01;;;;;
31/05/2013;;3.1.01.02.0014;2.1.03.02.0005;384,31;;PROV. INSS S/ 13º SALÁRIO REF. AO MÊS DE MAIO/2013 - ACÚSTICA.;01;01;;;;;
31/05/2013;;3.1.01.02.0014;2.1.03.02.0005;424,26;;PROV. INSS S/ 13º SALÁRIO REF. AO MÊS DE MAIO/2013 - REPARO ÁGUA;01;01;;;;;
31/05/2013;;3.1.01.02.0014;2.1.03.02.0005;24,67;;PROV. INSS S/ 13º SALÁRIO REF. AO MÊS DE MAIO/2013 - BETUME.;01;01;;;;;
31/05/2013;;3.1.01.02.0014;2.1.03.02.0005;82,91;;PROV. INSS S/ 13º SALÁRIO REF. AO MÊS DE MAIO/2013 - EPP.;01;01;;;;;
31/05/2013;;3.1.01.02.0014;2.1.03.02.0005;631,4;;PROV. INSS S/ 13º SALÁRIO REF. AO MÊS DE MAIO/2013 - ESPUMA.;01;01;;;;;
31/05/2013;;3.1.01.02.0014;2.1.03.02.0005;1039,99;;PROV. INSS S/ 13º SALÁRIO REF. AO MÊS DE MAIO/2013 - PARA SOL.;01;01;;;;;
31/05/2013;;3.1.01.02.0014;2.1.03.02.0005;911,78;;PROV. INSS S/ 13º SALÁRIO REF. AO MÊS DE MAIO/2013 - TAPETE.;01;01;;;;;
31/05/2013;;3.1.01.02.0011;2.1.03.02.0006;350,34;;PROV. FGTS S/ 13º SALÁRIO REF. AO MÊS DE MAIO/2013 - ACÚSTICA.;01;01;;;;;
31/05/2013;;3.1.01.02.0011;2.1.03.02.0006;383,55;;PROV. FGTS S/ 13º SALÁRIO REF. AO MÊS DE MAIO/2013 - REPARO ÁGUA.;01;01;;;;;
31/05/2013;;3.1.01.02.0011;2.1.03.02.0006;23,06;;PROV. FGTS S/ 13º SALÁRIO REF. AO MÊS DE MAIO/2013 -BETUME.;01;01;;;;;
31/05/2013;;3.1.01.02.0011;2.1.03.02.0006;76,84;;PROV. FGTS S/ 13º SALÁRIO REF. AO MÊS DE MAIO/2013 - EPP.;01;01;;;;;
31/05/2013;;3.1.01.02.0011;2.1.03.02.0006;558,53;;PROV. FGTS S/ 13º SALÁRIO REF. AO MÊS DE MAIO/2013 - ESPUMA.;01;01;;;;;
31/05/2013;;3.1.01.02.0011;2.1.03.02.0006;953,47;;PROV. FGTS S/ 13º SALÁRIO REF. AO MÊS DE MAIO/2013 -PARA SOL.;01;01;;;;;
31/05/2013;;3.1.01.02.0011;2.1.03.02.0006;827,56;;PROV. FGTS S/ 13º SALÁRIO REF. AO MÊS DE MAIO/2013 - TAPETE.;01;01;;;;;
31/05/2013;;3.1.02.01.0001;2.1.03.02.0004;5589,36;;PROV. 13º SALÁRIO REF. AO MÊS DE MAIO/2013 - LOGÍSTICA.;01;01;;;;;
31/05/2013;;3.1.02.01.0001;2.1.03.02.0004;4034,35;;PROV. 13º SALÁRIO REF. AO MÊS DE MAIO/2013 -COMPRAS.;01;01;;;;;
31/05/2013;;3.1.02.01.0001;2.1.03.02.0004;3725,53;;PROV. 13º SALÁRIO REF. AO MÊS DE MAIO/2013 -MANUTENÇÃO.;01;01;;;;;
31/05/2013;;3.1.02.01.0001;2.1.03.02.0004;1290,01;;PROV. 13º SALÁRIO REF. AO MÊS DE MAIO/2013 - FERRAMENTARIA.;01;01;;;;;
31/05/2013;;3.1.02.01.0001;2.1.03.02.0004;2262,19;;PROV. 13º SALÁRIO REF. AO MÊS DE MAIO/2013 - GER. PRODUÇÃO.;01;01;;;;;
31/05/2013;;3.1.02.01.0001;2.1.03.02.0004;402,01;;PROV. 13º SALÁRIO REF. AO MÊS DE MAIO/2013 - ALMOXARIFADO.;01;01;;;;;
31/05/2013;;3.1.02.01.0009;2.1.03.02.0005;495,82;;PROV. INSS S/ 13º SALÁRIO REF. AO MÊS DE MAIO/2013 - LOGÍSTICA.;01;01;;;;;
31/05/2013;;3.1.02.01.0009;2.1.03.02.0005;351,33;;PROV. INSS S/ 13º SALÁRIO REF. AO MÊS DE MAIO/2013 - COMPRAS.;01;01;;;;;
31/05/2013;;3.1.02.01.0009;2.1.03.02.0005;321,62;;PROV. INSS S/ 13º SALÁRIO REF. AO MÊS DE MAIO/2013 - MANUTENÇÃO.;01;01;;;;;
31/05/2013;;3.1.02.01.0009;2.1.03.02.0005;113,48;;PROV. INSS S/ 13º SALÁRIO REF. AO MÊS DE MAIO/2013 - FERRAMENTARIA.;01;01;;;;;
31/05/2013;;3.1.02.01.0009;2.1.03.02.0005;194,1;;PROV. INSS S/ 13º SALÁRIO REF. AO MÊS DE MAIO/2013 - GER. PRODUÇÃO.;01;01;;;;;
31/05/2013;;3.1.02.01.0009;2.1.03.02.0005;34,57;;PROV. INSS S/ 13º SALÁRIO REF. AO MÊS DE MAIO/2013 -ALMOXARIFADO.;01;01;;;;;
31/05/2013;;3.1.02.01.0006;2.1.03.02.0006;447,2;;PROV. FGTS S/ 13º SALÁRIO REF. AO MÊS DE MAIO/2013 - LOGÍSTICA.;01;01;;;;;
31/05/2013;;3.1.02.01.0006;2.1.03.02.0006;322,75;;PROV. FGTS S/ 13º SALÁRIO REF. AO MÊS DE MAIO/2013 - COMPRAS.;01;01;;;;;
31/05/2013;;3.1.02.01.0006;2.1.03.02.0006;298,04;;PROV. FGTS S/ 13º SALÁRIO REF. AO MÊS DE MAIO/2013 -MANUTENÇÃO.;01;01;;;;;
31/05/2013;;3.1.02.01.0006;2.1.03.02.0006;103,19;;PROV. FGTS S/ 13º SALÁRIO REF. AO MÊS DE MAIO/2013 - FERRAMENTARIA.;01;01;;;;;
31/05/2013;;3.1.02.01.0006;2.1.03.02.0006;180,96;;PROV. FGTS S/ 13º SALÁRIO REF. AO MÊS DE MAIO/2013 - GER. PRODUÇÃO.;01;01;;;;;
31/05/2013;;3.1.02.01.0006;2.1.03.02.0006;32,16;;PROV. FGTS S/ 13º SALÁRIO REF. AO MÊS DE MAIO/2013 - ALMOXARIFADO.;01;01;;;;;
