DATA;DOCUMENTO;CONTADEB;CONTACRED;VALOR;HP;HISTORICO;FILDEB;FILCRED;EVENTO;CONT;USER;INTEG_TO;XREF
31/07/2013;;3.1.01.02.0014;2.1.03.05.0003;16246,86;;PROV. INSS S/ 1% FATURAMENTO REF. AO MÊS - TAPETE;1;1;;;;;
31/07/2013;;3.1.01.02.0014;2.1.03.05.0003;7560,42;;PROV. INSS S/ 1% FATURAMENTO REF. AO MÊS - REPARO ÁGUA;1;1;;;;;
31/07/2013;;3.1.01.02.0014;2.1.03.05.0003;19464,06;;PROV. INSS S/ 1% FATURAMENTO REF. AO MÊS - PARA SOL;1;1;;;;;
31/07/2013;;3.1.01.02.0014;2.1.03.05.0003;9812,46;;PROV. INSS S/ 1% FATURAMENTO REF. AO MÊS - ESPUMA;1;1;;;;;
31/07/2013;;3.1.01.02.0014;2.1.03.05.0003;965,16;;PROV. INSS S/ 1% FATURAMENTO REF. AO MÊS - EPP;1;1;;;;;
31/07/2013;;3.1.01.02.0014;2.1.03.05.0003;482,58;;PROV. INSS S/ 1% FATURAMENTO REF. AO MÊS - BETUME;1;1;;;;;
31/07/2013;;3.1.01.02.0014;2.1.03.05.0003;6758,41;;PROV. INSS S/ 1% FATURAMENTO REF. AO MÊS - ACÚSTICA;1;1;;;;;
31/07/2013;;3.1.01.02.0014;2.1.03.05.0003;1884,66;;PROV. INSS S/ 20% FOLHA REF. AO MÊS - TAPETE;1;1;;;;;
31/07/2013;;3.1.01.02.0014;2.1.03.05.0003;877,02;;PROV. INSS S/ 20% FOLHA REF. AO MÊS - REPARO ÁGUA;1;1;;;;;
31/07/2013;;3.1.01.02.0014;2.1.03.05.0003;2257,86;;PROV. INSS S/ 20% FOLHA REF. AO MÊS - PARA SOL;1;1;;;;;
31/07/2013;;3.1.01.02.0014;2.1.03.05.0003;1108,14;;PROV. INSS S/ 20% FOLHA REF. AO MÊS - ESPUMA;1;1;;;;;
31/07/2013;;3.1.01.02.0014;2.1.03.05.0003;111,96;;PROV. INSS S/ 20% FOLHA REF. AO MÊS - EPP;1;1;;;;;
31/07/2013;;3.1.01.02.0014;2.1.03.05.0003;55,98;;PROV. INSS S/ 20% FOLHA REF. AO MÊS - BETUME;1;1;;;;;
31/07/2013;;3.1.01.02.0014;2.1.03.05.0003;783,72;;PROV. INSS S/ 20% FOLHA REF. AO MÊS - ACÚSTICA;1;1;;;;;
