DATA;DOCUMENTO;CONTADEB;CONTACRED;VALOR;HP;HISTORICO;FILDEB;FILCRED;EVENTO;CONT;USER;INTEG_TO;XREF
31/07/2013;;3.1.01.02.0014;2.1.03.05.0003;16246,86;;PROV. INSS S/ 1% FATURAMENTO REF. AO MÊS - TAPETE;01;01;;;;;
31/07/2013;;3.1.01.02.0014;2.1.03.05.0003;7560,42;;PROV. INSS S/ 1% FATURAMENTO REF. AO MÊS - REPARO ÁGUA;01;01;;;;;
31/07/2013;;3.1.01.02.0014;2.1.03.05.0003;19464,06;;PROV. INSS S/ 1% FATURAMENTO REF. AO MÊS - PARA SOL;01;01;;;;;
31/07/2013;;3.1.01.02.0014;2.1.03.05.0003;9812,46;;PROV. INSS S/ 1% FATURAMENTO REF. AO MÊS - ESPUMA;01;01;;;;;
31/07/2013;;3.1.01.02.0014;2.1.03.05.0003;965,16;;PROV. INSS S/ 1% FATURAMENTO REF. AO MÊS - EPP;01;01;;;;;
31/07/2013;;3.1.01.02.0014;2.1.03.05.0003;482,58;;PROV. INSS S/ 1% FATURAMENTO REF. AO MÊS - BETUME;01;01;;;;;
31/07/2013;;3.1.01.02.0014;2.1.03.05.0003;6758,41;;PROV. INSS S/ 1% FATURAMENTO REF. AO MÊS - ACÚSTICA;01;01;;;;;
31/07/2013;;3.1.01.02.0014;2.1.03.05.0003;1884,66;;PROV. INSS S/ 20% FOLHA REF. AO MÊS - TAPETE;01;01;;;;;
31/07/2013;;3.1.01.02.0014;2.1.03.05.0003;877,02;;PROV. INSS S/ 20% FOLHA REF. AO MÊS - REPARO ÁGUA;01;01;;;;;
31/07/2013;;3.1.01.02.0014;2.1.03.05.0003;2257,86;;PROV. INSS S/ 20% FOLHA REF. AO MÊS - PARA SOL;01;01;;;;;
31/07/2013;;3.1.01.02.0014;2.1.03.05.0003;1108,14;;PROV. INSS S/ 20% FOLHA REF. AO MÊS - ESPUMA;01;01;;;;;
31/07/2013;;3.1.01.02.0014;2.1.03.05.0003;111,96;;PROV. INSS S/ 20% FOLHA REF. AO MÊS - EPP;01;01;;;;;
31/07/2013;;3.1.01.02.0014;2.1.03.05.0003;55,98;;PROV. INSS S/ 20% FOLHA REF. AO MÊS - BETUME;01;01;;;;;
31/07/2013;;3.1.01.02.0014;2.1.03.05.0003;783,72;;PROV. INSS S/ 20% FOLHA REF. AO MÊS - ACÚSTICA;01;01;;;;;
31/07/2013;;3.1.02.01.0009;2.1.03.05.0003;2734,62;;PROV. INSS S/ 1% FATURAMENTO REF. AO MÊS - QUALIDADE;01;01;;;;;
31/07/2013;;3.1.02.01.0009;2.1.03.05.0003;3217,2;;PROV. INSS S/ 1% FATURAMENTO REF. AO MÊS - MANUTENÇÃO;01;01;;;;;
31/07/2013;;3.1.02.01.0009;2.1.03.05.0003;6756,12;;PROV. INSS S/ 1% FATURAMENTO REF. AO MÊS - LOGÍSTICA;01;01;;;;;
31/07/2013;;3.1.02.01.0009;2.1.03.05.0003;1286,88;;PROV. INSS S/ 1% FATURAMENTO REF. AO MÊS - GER. PRODUÇÃO;01;01;;;;;
31/07/2013;;3.1.02.01.0009;2.1.03.05.0003;1126,02;;PROV. INSS S/ 1% FATURAMENTO REF. AO MÊS - FERRAMENTARIA;01;01;;;;;
31/07/2013;;3.1.02.01.0009;2.1.03.05.0003;482,58;;PROV. INSS S/ 1% FATURAMENTO REF. AO MÊS - ALMOXARIFADO;01;01;;;;;
31/07/2013;;3.1.02.01.0009;2.1.03.05.0003;317,22;;PROV. INSS S/ 20% FOLHA REF. AO MÊS - QUALIDADE;01;01;;;;;
31/07/2013;;3.1.02.01.0009;2.1.03.05.0003;373,2;;PROV. INSS S/ 20% FOLHA REF. AO MÊS - MANUTENÇÃO;01;01;;;;;
31/07/2013;;3.1.02.01.0009;2.1.03.05.0003;783,72;;PROV. INSS S/ 20% FOLHA REF. AO MÊS - LOGÍSTICA;01;01;;;;;
31/07/2013;;3.1.02.01.0009;2.1.03.05.0003;130,62;;PROV. INSS S/ 20% FOLHA REF. AO MÊS - GER. PRODUÇÃO;01;01;;;;;
31/07/2013;;3.1.02.01.0009;2.1.03.05.0003;130,62;;PROV. INSS S/ 20% FOLHA REF. AO MÊS - FERRAMENTARIA;01;01;;;;;
