DATA;DOCUMENTO;CONTADEB;CONTACRED;VALOR;HP;HISTORICO;FILDEB;FILCRED;EVENTO;CONT;USER;INTEG_TO;XREF
31/10/2013;;3.2.01.01.0010;2.1.03.02.0001;3571,96;;PROV. FÉRIAS REF. AO MÊS DE OUTUBRO/2013 - ACUSTICA;01;01;;;;;
31/10/2013;;3.2.01.01.0010;2.1.03.02.0001;3969,51;;PROV. FÉRIAS REF. AO MÊS DE OUTUBRO/2013 - ANTEPARO AGUA;01;01;;;;;
31/10/2013;;3.2.01.01.0010;2.1.03.02.0001;302,81;;PROV. FÉRIAS REF. AO MÊS DE OUTUBRO/2013 - BETUME;01;01;;;;;
31/10/2013;;3.2.01.01.0010;2.1.03.02.0001;709,28;;PROV. FÉRIAS REF. AO MÊS DE OUTUBRO/2013 - EPP;01;01;;;;;
31/10/2013;;3.2.01.01.0010;2.1.03.02.0001;5652,64;;PROV. FÉRIAS REF. AO MÊS DE OUTUBRO/2013 - ESPUMA;01;01;;;;;
31/10/2013;;3.2.01.01.0010;2.1.03.02.0001;9184,96;;PROV. FÉRIAS REF. AO MÊS DE OUTUBRO/2013 - PARAS-SOL;01;01;;;;;
31/10/2013;;3.2.01.01.0010;2.1.03.02.0001;7589,6;;PROV. FÉRIAS REF. AO MÊS DE OUTUBRO/2013 - TAPETE;01;01;;;;;
31/10/2013;;3.2.01.01.0010;2.1.03.02.0001;5012,33;;PROV. FÉRIAS REF. AO MÊS DE OUTUBRO/2013 - LOGISTICA;01;01;;;;;
31/10/2013;;3.2.01.01.0010;2.1.03.02.0001;2919,09;;PROV. FÉRIAS REF. AO MÊS DE OUTUBRO/2013 - QUALIDADE;01;01;;;;;
31/10/2013;;3.2.01.01.0010;2.1.03.02.0001;3978,44;;PROV. FÉRIAS REF. AO MÊS DE OUTUBRO/2013 - MANUTENÇÃO;01;01;;;;;
31/10/2013;;3.2.01.01.0010;2.1.03.02.0001;1650,55;;PROV. FÉRIAS REF. AO MÊS DE OUTUBRO/2013 - FERRAMENTARIA;01;01;;;;;
31/10/2013;;3.2.01.01.0010;2.1.03.02.0001;2431,57;;PROV. FÉRIAS REF. AO MÊS DE OUTUBRO/2013 - GERENCIA PROD.;01;01;;;;;
31/10/2013;;3.2.01.01.0010;2.1.03.02.0001;454,29;;PROV. FÉRIAS REF. AO MÊS DE OUTUBRO/2013 - ALMOXARIFADO;01;01;;;;;
31/10/2013;;3.2.01.01.0010;2.1.03.02.0001;995,47;;PROV. FÉRIAS REF. AO MÊS DE OUTUBRO/2013 - COMERCIAL;01;01;;;;;
31/10/2013;;3.2.01.01.0010;2.1.03.02.0001;684,11;;PROV. FÉRIAS REF. AO MÊS DE OUTUBRO/2013 - COMPRAS;01;01;;;;;
31/10/2013;;3.2.01.01.0010;2.1.03.02.0001;2781,71;;PROV. FÉRIAS REF. AO MÊS DE OUTUBRO/2013 - CONTROLADORIA;01;01;;;;;
31/10/2013;;3.2.01.01.0010;2.1.03.02.0001;596,93;;PROV. FÉRIAS REF. AO MÊS DE OUTUBRO/2013 - DIRETORIA;01;01;;;;;
31/10/2013;;3.2.01.01.0010;2.1.03.02.0001;607,1;;PROV. FÉRIAS REF. AO MÊS DE OUTUBRO/2013 - DEPARTAMENTO PESSOAL;01;01;;;;;
