DATA;DOCUMENTO;CONTADEB;CONTACRED;VALOR;HP;HISTORICO;FILDEB;FILCRED;EVENTO;CONT;USER;INTEG_TO;XREF
31/12/2013;;2.1.03.05.0003;2.2.01.05.0018;656096,4;;Valor ref. Regulariza‡Æo de concilia‡Æo de Parcelamentos ocorridos em 31/12/2013 ;01;01;;;;;
31/12/2013;;2.1.06.05.0001;2.1.03.05.0003;4951936,9;;Valor ref. Regulariza‡Æo de concilia‡Æo de Parcelamentos ocorridos em 31/12/2013 ;01;01;;;;;
31/12/2013;;2.1.04.02.0001;2.1.05.01.0007;456865,48;;Valor ref. Regulariza‡Æo de concilia‡Æo de Parcelamentos ocorridos em 31/12/2013 ;01;01;;;;;
31/12/2013;;2.1.04.02.0002;2.1.05.01.0007;156996,26;;Valor ref. Regulariza‡Æo de concilia‡Æo de Parcelamentos ocorridos em 31/12/2013 ;01;01;;;;;
31/12/2013;;2.1.04.03.0001;1.1.09.01.0004;192341,8;;Valor ref. Regulariza‡Æo de concilia‡Æo de Parcelamentos ocorridos em 31/12/2013 ;01;01;;;;;
31/12/2013;;2.1.04.03.0001;2.1.05.01.0001;3297843,8;;Valor ref. Regulariza‡Æo de concilia‡Æo de Parcelamentos ocorridos em 31/12/2013 ;01;01;;;;;
31/12/2013;;2.1.04.03.0005;1.1.09.01.0013;30823,33;;Valor ref. Regulariza‡Æo de concilia‡Æo de Parcelamentos ocorridos em 31/12/2013 ;01;01;;;;;
31/12/2013;;2.1.04.03.0005;2.1.05.01.0008;735914,32;;Valor ref. Regulariza‡Æo de concilia‡Æo de Parcelamentos ocorridos em 31/12/2013 ;01;01;;;;;
31/12/2013;;2.1.04.03.0003;2.1.05.01.0013;593187,21;;Valor ref. Regulariza‡Æo de concilia‡Æo de Parcelamentos ocorridos em 31/12/2013 ;01;01;;;;;
31/12/2013;;2.1.06.05.0001;2.1.05.01.0001;2366128,17;;Valor ref. Regulariza‡Æo de concilia‡Æo de Parcelamentos ocorridos em 31/12/2013 ;01;01;;;;;
31/12/2013;;2.1.06.05.0001;2.1.05.01.0008;101188,39;;Valor ref. Regulariza‡Æo de concilia‡Æo de Parcelamentos ocorridos em 31/12/2013 ;01;01;;;;;
31/12/2013;;2.1.06.05.0001;2.2.01.05.0010;1822182,6;;Valor ref. Regulariza‡Æo de concilia‡Æo de Parcelamentos ocorridos em 31/12/2013 ;01;01;;;;;
31/12/2013;;2.1.06.05.0001;2.2.01.05.0011;400157,69;;Valor ref. Regulariza‡Æo de concilia‡Æo de Parcelamentos ocorridos em 31/12/2013 ;01;01;;;;;
31/12/2013;;2.1.05.01.0013;2.1.06.05.0001;374784,98;;Valor ref. Regulariza‡Æo de concilia‡Æo de Parcelamentos ocorridos em 31/12/2013 ;01;01;;;;;
31/12/2013;;2.1.06.05.0001;2.1.05.01.0012;254151,92;;Valor ref. Regulariza‡Æo de concilia‡Æo de Parcelamentos ocorridos em 31/12/2013 ;01;01;;;;;
