Est	Item	Tipo	
102	00010003	1	
152	00010003	1	
201	00010003	1	
251	00010003	1	
501	00010003	1	
102	00010005	1	
152	00010005	1	
201	00010005	1	
251	00010005	1	
501	00010005	1	
102	00010006	1	
152	00010006	1	
201	00010006	1	
251	00010006	1	
501	00010006	1	
102	00010007	1	
152	00010007	1	
201	00010007	1	
251	00010007	1	
501	00010007	1	
102	00010008	1	
152	00010008	1	
201	00010008	1	
251	00010008	1	
501	00010008	1	
102	00010009	1	
152	00010009	1	
201	00010009	1	
251	00010009	1	
501	00010009	1	
102	00010010	1	
152	00010010	1	
201	00010010	1	
251	00010010	1	
501	00010010	1	
102	00010011	1	
152	00010011	1	
201	00010011	1	
251	00010011	1	
501	00010011	1	
102	00010012	1	
152	00010012	1	
201	00010012	1	
251	00010012	1	
501	00010012	1	
102	00010013	1	
152	00010013	1	
201	00010013	1	
251	00010013	1	
501	00010013	1	
102	00010014	1	
152	00010014	1	
201	00010014	1	
251	00010014	1	
501	00010014	1	
102	00010015	1	
152	00010015	1	
201	00010015	1	
251	00010015	1	
501	00010015	1	
102	00010042	1	
152	00010042	1	
201	00010042	1	
251	00010042	1	
501	00010042	1	
102	00010043	1	
152	00010043	1	
201	00010043	1	
251	00010043	1	
501	00010043	1	
102	00010044	1	
152	00010044	1	
201	00010044	1	
251	00010044	1	
501	00010044	1	
102	00010045	1	
152	00010045	1	
201	00010045	1	
251	00010045	1	
501	00010045	1	
102	00010061	1	
152	00010061	1	
201	00010061	1	
251	00010061	1	
501	00010061	1	
102	00010062	1	
152	00010062	1	
201	00010062	1	
251	00010062	1	
501	00010062	1	
102	00010063	1	
152	00010063	1	
201	00010063	1	
251	00010063	1	
501	00010063	1	
102	00010064	1	
152	00010064	1	
201	00010064	1	
251	00010064	1	
501	00010064	1	
102	00010065	1	
152	00010065	1	
201	00010065	1	
251	00010065	1	
501	00010065	1	
102	00010066	1	
152	00010066	1	
201	00010066	1	
251	00010066	1	
501	00010066	1	
102	00010081	1	
152	00010081	1	
201	00010081	1	
251	00010081	1	
501	00010081	1	
102	00010082	1	
152	00010082	1	
201	00010082	1	
251	00010082	1	
501	00010082	1	
102	00010083	1	
152	00010083	1	
201	00010083	1	
251	00010083	1	
501	00010083	1	
102	00010084	1	
152	00010084	1	
201	00010084	1	
251	00010084	1	
501	00010084	1	
102	00010085	1	
152	00010085	1	
201	00010085	1	
251	00010085	1	
501	00010085	1	
102	00010101	1	
152	00010101	1	
201	00010101	1	
251	00010101	1	
501	00010101	1	
102	00010102	1	
152	00010102	1	
201	00010102	1	
251	00010102	1	
501	00010102	1	
102	00010103	1	
152	00010103	1	
201	00010103	1	
251	00010103	1	
501	00010103	1	
102	00010104	1	
152	00010104	1	
201	00010104	1	
251	00010104	1	
501	00010104	1	
102	00010105	1	
152	00010105	1	
201	00010105	1	
251	00010105	1	
501	00010105	1	
102	00010121	1	
152	00010121	1	
201	00010121	1	
251	00010121	1	
501	00010121	1	
102	00010141	1	
152	00010141	1	
201	00010141	1	
251	00010141	1	
501	00010141	1	
102	00010142	1	
152	00010142	1	
201	00010142	1	
251	00010142	1	
501	00010142	1	
102	00010143	1	
152	00010143	1	
201	00010143	1	
251	00010143	1	
501	00010143	1	
102	00010144	1	
152	00010144	1	
201	00010144	1	
251	00010144	1	
501	00010144	1	
102	00010145	1	
152	00010145	1	
201	00010145	1	
251	00010145	1	
501	00010145	1	
102	00010161	1	
152	00010161	1	
201	00010161	1	
251	00010161	1	
501	00010161	1	
102	00010181	1	
152	00010181	1	
201	00010181	1	
251	00010181	1	
501	00010181	1	
102	00010201	1	
152	00010201	1	
201	00010201	1	
251	00010201	1	
501	00010201	1	
102	00010202	1	
152	00010202	1	
201	00010202	1	
251	00010202	1	
501	00010202	1	
102	00010203	1	
152	00010203	1	
201	00010203	1	
251	00010203	1	
501	00010203	1	
102	00010204	1	
152	00010204	1	
201	00010204	1	
251	00010204	1	
501	00010204	1	
102	00010205	1	
152	00010205	1	
201	00010205	1	
251	00010205	1	
501	00010205	1	
102	00010222	1	
152	00010222	1	
201	00010222	1	
251	00010222	1	
501	00010222	1	
102	00010223	1	
152	00010223	1	
201	00010223	1	
251	00010223	1	
501	00010223	1	
102	00010224	1	
152	00010224	1	
201	00010224	1	
251	00010224	1	
501	00010224	1	
102	00010231	1	
152	00010231	1	
201	00010231	1	
251	00010231	1	
501	00010231	1	
102	00010232	1	
152	00010232	1	
201	00010232	1	
251	00010232	1	
501	00010232	1	
102	00010233	1	
152	00010233	1	
201	00010233	1	
251	00010233	1	
501	00010233	1	
102	00010234	1	
152	00010234	1	
201	00010234	1	
251	00010234	1	
501	00010234	1	
102	00010235	1	
152	00010235	1	
201	00010235	1	
251	00010235	1	
501	00010235	1	
102	00010241	1	
152	00010241	1	
201	00010241	1	
251	00010241	1	
501	00010241	1	
102	00010242	1	
152	00010242	1	
201	00010242	1	
251	00010242	1	
501	00010242	1	
102	00010243	1	
152	00010243	1	
201	00010243	1	
251	00010243	1	
501	00010243	1	
102	00010244	1	
152	00010244	1	
201	00010244	1	
251	00010244	1	
501	00010244	1	
102	00010245	1	
152	00010245	1	
201	00010245	1	
251	00010245	1	
501	00010245	1	
102	00010281	1	
152	00010281	1	
201	00010281	1	
251	00010281	1	
501	00010281	1	
102	00010282	1	
152	00010282	1	
201	00010282	1	
251	00010282	1	
501	00010282	1	
102	00010283	1	
152	00010283	1	
201	00010283	1	
251	00010283	1	
501	00010283	1	
102	00010284	1	
152	00010284	1	
201	00010284	1	
251	00010284	1	
501	00010284	1	
102	00010301	1	
152	00010301	1	
201	00010301	1	
251	00010301	1	
501	00010301	1	
102	00010321	1	
152	00010321	1	
201	00010321	1	
251	00010321	1	
501	00010321	1	
102	00010322	1	
152	00010322	1	
201	00010322	1	
251	00010322	1	
501	00010322	1	
102	00010323	1	
152	00010323	1	
201	00010323	1	
251	00010323	1	
501	00010323	1	
102	00010341	1	
152	00010341	1	
201	00010341	1	
251	00010341	1	
501	00010341	1	
102	00010342	1	
152	00010342	1	
201	00010342	1	
251	00010342	1	
501	00010342	1	
102	00010343	1	
152	00010343	1	
201	00010343	1	
251	00010343	1	
501	00010343	1	
102	00010344	1	
152	00010344	1	
201	00010344	1	
251	00010344	1	
501	00010344	1	
102	00010361	1	
152	00010361	1	
201	00010361	1	
251	00010361	1	
501	00010361	1	
102	00010362	1	
152	00010362	1	
201	00010362	1	
251	00010362	1	
501	00010362	1	
102	00010381	1	
152	00010381	1	
201	00010381	1	
251	00010381	1	
501	00010381	1	
102	00010382	1	
152	00010382	1	
201	00010382	1	
251	00010382	1	
501	00010382	1	
102	00010383	1	
152	00010383	1	
201	00010383	1	
251	00010383	1	
501	00010383	1	
102	00010384	1	
152	00010384	1	
201	00010384	1	
251	00010384	1	
501	00010384	1	
102	00010401	1	
152	00010401	1	
201	00010401	1	
251	00010401	1	
501	00010401	1	
102	00010421	1	
152	00010421	1	
201	00010421	1	
251	00010421	1	
501	00010421	1	
102	00010422	1	
152	00010422	1	
201	00010422	1	
251	00010422	1	
501	00010422	1	
102	00010423	1	
152	00010423	1	
201	00010423	1	
251	00010423	1	
501	00010423	1	
102	00010424	1	
152	00010424	1	
201	00010424	1	
251	00010424	1	
501	00010424	1	
102	00010425	1	
152	00010425	1	
201	00010425	1	
251	00010425	1	
501	00010425	1	
102	00010561	1	
152	00010561	1	
201	00010561	1	
251	00010561	1	
501	00010561	1	
102	00010562	1	
152	00010562	1	
201	00010562	1	
251	00010562	1	
501	00010562	1	
102	00010581	1	
152	00010581	1	
201	00010581	1	
251	00010581	1	
501	00010581	1	
102	00010582	1	
152	00010582	1	
201	00010582	1	
251	00010582	1	
501	00010582	1	
102	00010601	1	
152	00010601	1	
201	00010601	1	
251	00010601	1	
501	00010601	1	
102	00010621	1	
152	00010621	1	
201	00010621	1	
251	00010621	1	
501	00010621	1	
102	00010661	1	
152	00010661	1	
201	00010661	1	
251	00010661	1	
501	00010661	1	
102	00010662	1	
152	00010662	1	
201	00010662	1	
251	00010662	1	
501	00010662	1	
102	00010663	1	
152	00010663	1	
201	00010663	1	
251	00010663	1	
501	00010663	1	
102	00010664	1	
152	00010664	1	
201	00010664	1	
251	00010664	1	
501	00010664	1	
102	00010665	1	
152	00010665	1	
201	00010665	1	
251	00010665	1	
501	00010665	1	
102	00010769	1	
152	00010769	1	
201	00010769	1	
251	00010769	1	
501	00010769	1	
102	00010770	1	
152	00010770	1	
201	00010770	1	
251	00010770	1	
501	00010770	1	
102	00010775	1	
152	00010775	1	
201	00010775	1	
251	00010775	1	
501	00010775	1	
102	00010820	1	
152	00010820	1	
201	00010820	1	
251	00010820	1	
501	00010820	1	
102	00010821	1	
152	00010821	1	
201	00010821	1	
251	00010821	1	
501	00010821	1	
102	00010822	1	
152	00010822	1	
201	00010822	1	
251	00010822	1	
501	00010822	1	
102	00010823	1	
152	00010823	1	
201	00010823	1	
251	00010823	1	
501	00010823	1	
102	00010824	1	
152	00010824	1	
201	00010824	1	
251	00010824	1	
501	00010824	1	
102	00010825	1	
152	00010825	1	
201	00010825	1	
251	00010825	1	
501	00010825	1	
102	00010826	1	
152	00010826	1	
201	00010826	1	
251	00010826	1	
501	00010826	1	
102	00010840	1	
152	00010840	1	
201	00010840	1	
251	00010840	1	
501	00010840	1	
102	00010841	1	
152	00010841	1	
201	00010841	1	
251	00010841	1	
501	00010841	1	
102	00010842	1	
152	00010842	1	
201	00010842	1	
251	00010842	1	
501	00010842	1	
102	00010843	1	
152	00010843	1	
201	00010843	1	
251	00010843	1	
501	00010843	1	
102	00010847	1	
152	00010847	1	
201	00010847	1	
251	00010847	1	
501	00010847	1	
102	00010850	1	
152	00010850	1	
201	00010850	1	
251	00010850	1	
501	00010850	1	
102	00010851	1	
152	00010851	1	
201	00010851	1	
251	00010851	1	
501	00010851	1	
102	00010860	1	
152	00010860	1	
201	00010860	1	
251	00010860	1	
501	00010860	1	
102	00010861	1	
152	00010861	1	
201	00010861	1	
251	00010861	1	
501	00010861	1	
102	00010862	1	
152	00010862	1	
201	00010862	1	
251	00010862	1	
501	00010862	1	
102	00011001	1	
152	00011001	1	
201	00011001	1	
251	00011001	1	
501	00011001	1	
102	00011002	1	
152	00011002	1	
201	00011002	1	
251	00011002	1	
501	00011002	1	
102	00011003	1	
152	00011003	1	
201	00011003	1	
251	00011003	1	
501	00011003	1	
102	00011004	1	
152	00011004	1	
201	00011004	1	
251	00011004	1	
501	00011004	1	
102	00011005	1	
152	00011005	1	
201	00011005	1	
251	00011005	1	
501	00011005	1	
102	00011021	1	
152	00011021	1	
201	00011021	1	
251	00011021	1	
501	00011021	1	
102	00011022	1	
152	00011022	1	
201	00011022	1	
251	00011022	1	
501	00011022	1	
102	00011023	1	
152	00011023	1	
201	00011023	1	
251	00011023	1	
501	00011023	1	
102	00011024	1	
152	00011024	1	
201	00011024	1	
251	00011024	1	
501	00011024	1	
102	00011025	1	
152	00011025	1	
201	00011025	1	
251	00011025	1	
501	00011025	1	
102	00020001	1	
152	00020001	1	
251	00020001	1	
501	00020001	1	
102	00020004	1	
152	00020004	1	
251	00020004	1	
501	00020004	1	
102	00020005	1	
152	00020005	1	
251	00020005	1	
501	00020005	1	
102	00020006	1	
152	00020006	1	
251	00020006	1	
501	00020006	1	
102	00020007	1	
152	00020007	1	
251	00020007	1	
501	00020007	1	
102	00020008	1	
152	00020008	1	
251	00020008	1	
501	00020008	1	
102	00020009	1	
152	00020009	1	
251	00020009	1	
501	00020009	1	
102	00020031	1	
152	00020031	1	
251	00020031	1	
501	00020031	1	
102	00020041	1	
152	00020041	1	
251	00020041	1	
501	00020041	1	
102	00020042	1	
152	00020042	1	
251	00020042	1	
501	00020042	1	
102	00020043	1	
152	00020043	1	
251	00020043	1	
501	00020043	1	
102	00020050	1	
152	00020050	1	
251	00020050	1	
501	00020050	1	
102	00020061	1	
152	00020061	1	
251	00020061	1	
501	00020061	1	
102	00020062	1	
152	00020062	1	
251	00020062	1	
501	00020062	1	
102	00020064	1	
152	00020064	1	
251	00020064	1	
501	00020064	1	
102	00020065	1	
152	00020065	1	
251	00020065	1	
501	00020065	1	
102	00020066	1	
152	00020066	1	
251	00020066	1	
501	00020066	1	
102	00020081	1	
152	00020081	1	
251	00020081	1	
501	00020081	1	
102	00020082	1	
152	00020082	1	
251	00020082	1	
501	00020082	1	
102	00020083	1	
152	00020083	1	
251	00020083	1	
501	00020083	1	
102	00020084	1	
152	00020084	1	
251	00020084	1	
501	00020084	1	
102	00020085	1	
152	00020085	1	
251	00020085	1	
501	00020085	1	
102	00020101	1	
152	00020101	1	
251	00020101	1	
501	00020101	1	
102	00020121	1	
152	00020121	1	
251	00020121	1	
501	00020121	1	
102	00020142	1	
152	00020142	1	
251	00020142	1	
501	00020142	1	
102	00020160	1	
152	00020160	1	
251	00020160	1	
501	00020160	1	
102	00020161	1	
152	00020161	1	
251	00020161	1	
501	00020161	1	
102	00020181	1	
152	00020181	1	
251	00020181	1	
501	00020181	1	
102	00020182	1	
152	00020182	1	
251	00020182	1	
501	00020182	1	
102	00020184	1	
152	00020184	1	
251	00020184	1	
501	00020184	1	
102	00020186	1	
152	00020186	1	
251	00020186	1	
501	00020186	1	
102	00020189	1	
152	00020189	1	
251	00020189	1	
501	00020189	1	
102	00020190	1	
152	00020190	1	
251	00020190	1	
501	00020190	1	
102	00020191	1	
152	00020191	1	
251	00020191	1	
501	00020191	1	
102	00020200	1	
152	00020200	1	
251	00020200	1	
501	00020200	1	
102	00030001	1	
152	00030001	1	
251	00030001	1	
501	00030001	1	
102	00030002	1	
152	00030002	1	
251	00030002	1	
501	00030002	1	
102	00030011	1	
152	00030011	1	
251	00030011	1	
501	00030011	1	
102	00030012	1	
152	00030012	1	
251	00030012	1	
501	00030012	1	
102	00030013	1	
152	00030013	1	
251	00030013	1	
501	00030013	1	
102	00030021	1	
152	00030021	1	
251	00030021	1	
501	00030021	1	
102	00030022	1	
152	00030022	1	
251	00030022	1	
501	00030022	1	
102	00030031	1	
152	00030031	1	
251	00030031	1	
501	00030031	1	
102	00030032	1	
152	00030032	1	
251	00030032	1	
501	00030032	1	
102	00030050	1	
152	00030050	1	
251	00030050	1	
501	00030050	1	
102	00030080	1	
152	00030080	1	
251	00030080	1	
501	00030080	1	
102	00030100	1	
152	00030100	1	
251	00030100	1	
501	00030100	1	
102	00030101	1	
152	00030101	1	
251	00030101	1	
501	00030101	1	
102	00040031	1	
152	00040031	1	
501	00040031	1	
102	00040032	1	
152	00040032	1	
501	00040032	1	
102	00040033	1	
152	00040033	1	
501	00040033	1	
102	00040034	1	
152	00040034	1	
501	00040034	1	
102	00040035	1	
152	00040035	1	
501	00040035	1	
102	00040041	1	
152	00040041	1	
501	00040041	1	
102	00040042	1	
152	00040042	1	
501	00040042	1	
102	00040080	1	
152	00040080	1	
501	00040080	1	
102	00040081	1	
152	00040081	1	
501	00040081	1	
102	00050001	1	
152	00050001	1	
201	00050001	1	
251	00050001	1	
501	00050001	1	
102	00050002	1	
152	00050002	1	
201	00050002	1	
251	00050002	1	
501	00050002	1	
102	00050003	1	
152	00050003	1	
201	00050003	1	
251	00050003	1	
501	00050003	1	
102	00050004	1	
152	00050004	1	
201	00050004	1	
251	00050004	1	
501	00050004	1	
102	00050005	1	
152	00050005	1	
201	00050005	1	
251	00050005	1	
501	00050005	1	
102	00050006	1	
152	00050006	1	
201	00050006	1	
251	00050006	1	
501	00050006	1	
102	00050008	1	
152	00050008	1	
201	00050008	1	
251	00050008	1	
501	00050008	1	
102	00050009	1	
152	00050009	1	
201	00050009	1	
251	00050009	1	
501	00050009	1	
102	00050010	1	
152	00050010	1	
201	00050010	1	
251	00050010	1	
501	00050010	1	
102	00050011	1	
152	00050011	1	
201	00050011	1	
251	00050011	1	
501	00050011	1	
102	00050012	1	
152	00050012	1	
201	00050012	1	
251	00050012	1	
501	00050012	1	
102	00050101	1	
152	00050101	1	
201	00050101	1	
251	00050101	1	
501	00050101	1	
102	00060001	2	
152	00060001	2	
201	00060001	2	
251	00060001	2	
501	00060001	2	
102	00060002	2	
152	00060002	2	
201	00060002	2	
251	00060002	2	
501	00060002	2	
102	00060003	2	
152	00060003	2	
